,timer,WCR IN,Welding Current,Welding Voltage,X offset,Z offset,PLUS Integral,MINUS Integral,Standard_Arc_Current,ALL Integral,x up,x ui,z up,z ui,x,y,z,welding on/off polyscope,touch on/off polyscope,ratio_t,get_wcr polyscope,get_touch polyscope,write_welder,peak_vlaue,Arc_percent,set_current,set_voltage,set speed (cpm),set amplitude,set frequency,set x_offset,set z_offset,set rx,set ry
1745306715.0846987,5.208000183105469,0.0,345.0,30.035152435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24005126953125,-1.1838608980178833,-0.01319347694516182,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,0.0,17.202922821044922,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
1745306715.1864014,5.311999797821045,0.0,346.0,30.035152435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21085262298584,-0.19415411353111267,0.057590000331401825,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,0.0,42.80780792236328,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
1745306715.28807,5.415999889373779,0.0,349.0,29.841794967651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.067001342773438,0.4457332193851471,0.06755845993757248,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,0.0,68.4289321899414,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
1745306715.3898292,5.51200008392334,0.0,356.0,30.0673770904541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.773368835449219,1.295611023902893,0.12594908475875854,1.0,0.0,0.04878048598766327,1.0,0.0,1.0,50.0,91.90994262695312,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.6304931640625,40.0
1745306715.491462,5.616000175476074,0.0,356.0,29.841794967651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.086214065551758,1.298992395401001,0.13098183274269104,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,50.0,7.001834869384766,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
1745306715.5928214,5.71999979019165,0.0,338.0,30.002927780151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67773151397705,-0.5002535581588745,0.03192269429564476,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,0.0,60.48869323730469,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
1745306715.6946774,5.823999881744385,0.0,349.0,30.035152435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.324640274047852,-2.0193305015563965,0.01821022480726242,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,50.0,100.5490951538086,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
1745306715.796207,5.927999973297119,0.0,339.0,29.874019622802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.812344551086426,-1.2771905660629272,0.015758289024233818,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,0.0,20.010738372802734,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
1745306715.8977613,6.0320000648498535,0.0,343.0,29.938478469848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.852926254272461,-0.24300101399421692,0.1529141068458557,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,0.0,45.86313247680664,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
1745306715.9986875,6.127999782562256,0.0,348.0,30.002927780151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.539511680603027,0.5223323106765747,0.16191944479942322,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,0.0,67.803955078125,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
1745306716.100614,6.23199987411499,0.0,350.0,30.035152435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.291505813598633,1.1503586769104004,0.12531332671642303,1.0,0.0,0.060975611209869385,1.0,0.0,1.0,50.0,92.13471984863281,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-74.16580200195312,40.0
